index,name,lyric
,a-fadimem,"['A Fadimem hadi senle kaçalım', 'Beyce de pazarında dükkan açalım', ' Ay laylilam ay laylilam ay laylam', ' A Fadimem iki değil üç değil', 'Benim bağrım demir değil tunç değil', ' Ay laylilam ay laylilam ay laylam', '']"
,acaba,"['Bilmem ki unuttun mu ', 'Dudakların adımı ', 'Gözlerinde anılar ', 'Eskidi mi acaba', 'O en güzel ümitler', 'O en güzel hayaller', 'Yılların gölgesinde', 'Kayboldu mu acaba', ' Oysa hala duruyor ', 'Ağaçlarda ismimiz', 'Oysa hala solmadı ', 'Duvarlarda resmimiz', 'Bir zamanlar eşsiz olan', 'En kutsal sevgimiz', 'Yoksa senin kalbinden ', 'Silindi mi acaba?', ' ']"
,acemkurdi-pesrev,"['Şarkı enstrümantal olduğu için şarkı sözü bulunmamaktadır.', '']"
,acilara-gucendim,"['Bana derdi çektiren', 'Göz yaşlarımı döktüren', 'Hayatıma küstüren', 'Acılara gücendim', ' Yiğidimi solduran', 'Ömrüme dert dolduran', 'Saçlarımı yolduran', 'Acılara gücendim', ' Karşıma geçip gülen', 'Tatlı uykumu bölen', 'Yaşamayı çok gören', 'Acılara gücendim', ' Ben ağladıkça gülen', 'Tatlı uykumu bölen', '']"
,acik-birak-pencereni,"['Açık bırak pencereni', 'Örtme perdeyi bu gece', 'Sana yazdım bu şarkıyı', 'Sana yaptım bu besteyi', 'Rüzgarlar rüzgarlar', 'Getiren bizi', 'Aç artık avuçlarını', 'Yum gözlerini iyice', 'Ağlayıp yalvarmak için', 'Diz çöküp yalvarmak için', 'Ellerim ellerim uzanabilsin', 'Açık bırak pencereni', 'Örtme perdeyi bu gece']"
,acilan-bir-gul-gibi,"['Açılan bir gül gibi', 'Gir kalbe gönül gibi', 'Coşarım sen gülersen', 'Ağlarım ben küsersen', ' Kalbime gir bahar ol', 'Yüreğim tazelensin', '  Biricik çiçeğimsin', 'Sevgili meleğimsin', 'Seni okşar severim', 'Kalpte pek çoktur yerin', 'Kalbime gir bahar ol', 'Yüreğim tazelensin']"
,acildi-bahcede-guller,"['Açıldı bahçede güller', 'Eder avaze bülbüller', 'Beni mecnun eden dilber', 'Eder avaze bülbüller', '']"
,agora-meyhanesi,"['Burası agora meyhanesi', 'Burada yaşar aşkların', 'En divanesı en şahanesi', ' Bu gece benim gecem', 'Bu gece benim gecem', 'Cama vuran her damlada', 'Seni hatırlıyorum', 'Ve sena susuzluğumu', ' Bu aksam ümitlerimi', 'Meze yapıp içiyorum', 'İçiyor içiyorum']"
,agla-gitar-cal-gitar,"['İçimde nice uzun yılların özlemi var', 'Bu gece efkarlıyım', 'Ağla gitar...', 'Çal, çal, çal gitar', 'Bu gece efkarlıyım', 'Ağla gitar...', 'Çal, çal, çal gitar', ' Bitmesin bu sarhoşluk', 'Sürsün sabaha kadar', 'Bu gece efkarlıyım', 'Ağla gitar...', 'Çal, çal, çal gitar', ' Bu gece efkarlıyım', 'Ağla gitar...', 'Çal, çal, çal gitar']"
,aglama-degmez-hayat,"['Rüya gibi her hatıra her yaşantı bana', 'Rüya gibi her hatıra her yaşantı bana', 'Ne bulduysa kaybetti gönül aşktan yana', 'Ne bulduysa kaybetti gönül aşktan yana', ' Ömür çiçek kadar narin bir gün kadar kısa', 'Ağlama değmez hayat bu gözyaşlarına', 'Ağlama değmez hayat bu gözyaşlarına', ' Her damla yaş oyuk oyuk iz bırakır kalbimde', 'Her damla yaş oyuk oyuk iz bırakır kalbimde', 'Hayat şarap gibidir keder de var neşe de', 'Hayat şarap gibidir keder de var neşe de', ' Ömür çiçek kadar narin bir gün kadar kısa', 'Ağlama değmez hayat bu gözyaşlarına', 'Ağlama değmez hayat bu gözyaşlarına']"
,aglama-sevdam,"['Göz yaşımın her damlası sevgidir', 'Şu hasretlilik zor gelsede çekilir', 'Bir gün olur bu acılar silinir', 'Ağlama sevdam ağlama sevdam ağlama x 4', ' Benden ayrı gezme gülüm amandır', 'Sensiz benim gönül evim talandır', 'Bu dünyada bir muhabbet kalandır', 'Ağlama sevdam ağlama sevdam ağlama x 4', ' Hasretinden ateş yutmuş gibiyim', 'Ağlama sevdam ağlama sevdam ağlama x 3', 'ağlama ağlama']"
